word,corrected
jalurnya,
bunyinya,
ngeratapin,
harassmentnya,
alhamdulillahatas,
berekspresi,
sediiiihhhh,
peresmian,
jember,
metrotempocoampketuabaznassebutbazisdkiilegalsandiagaunoberipenjelasantwitterimpressiontrue,
langkahmu,
ngawur,
pelaksana,
dimusuhinya,
focus,
anakanak,
bahahahahajahahhaaa,
huehehe,
semaraknya,
nyalinya,
benerin,
laun,
cobaanpasti,
ngedown,
bersaksi,
mertua,
sembari,
disiniiii,
oat,
un,
nold,
pas,
petang,
picik,
bts,
gelaa,
password,
projek,
copy,
seraya,
jogjangeri,
apresiasi,
co,
disebelah,
apaapanya,
dimarahin,
meryl,
gomez,
deru,
diatasi,
manyun,
insyafmu,
jwban,
white,
sktm,
terpana,
kdang,
ocehan,
oldmoneygangerasain,
arasso,
woi,
digubris,
ngelindungin,
tmnnya,
kalut,
cobaaa,
domi,
oikawa,
nangispojok,
darahkeringat,
imunisasi,
wajarlah,
sedikitlagian,
keookkk,
menemaninya,
titipan,
mencontohmu,
rori,
samamobil,
ngelike,
tekukan,
berda,
kepilih,
ketikan,
andy,
wuuuh,
mobile,
nyali,
sayangable,
sabar,
ahahaha,
kolonialrusaklah,
belgia,
yess,
kegulung,
berbeda,
mencatatkan,
lucky,
naikin,
region,
cikk,
kuruskecil,
segan,
bangetsih,
menyampaikan,
belakangmudan,
custom,
linernya,
perjuangkan,
pfft,
jiaaaaaaann,
berpindah,
kuliahnya,
mytwitteranniversary,
anakbola,
amme,
tingglkan,
tersadar,
tanggapan,
ngebiarin,
ngebahagiain,
sambutlah,
kamarnya,
disarankan,
wagub,
skripsinya,
alias,
btsarmy,
terserah,
kaliannnnnnn,
bacanya,
works,
konfirmasinya,
parno,
ruas,
robb,
aditia,
yuri,
kebenarannya,
entahlah,
amoy,
medik,
sitompul,
vulgar,
dentoalveolar,
elakkan,
jamaahnya,
kehidupannya,
beb,
nia,
antek,
cie,
maksi,
berbarengan,
villagenya,
ajja,
gini,
nelpn,
kuinginkan,
yeaaaaay,
mengkhianati,
pentingnyabpip,
klmpok,
kemanakan,
tmn,
satupun,
tersesat,
semprotan,
berkompetisi,
kelewatan,
msih,
lukisan,
solobgmn,
gapake,
kamuuuu,
menyuguhkan,
disinergikan,
croplah,
cryingnya,
munafik,
prihatin,
tanggapannya,
rifai,
merasakannya,
berbenah,
pemimpin,
hayah,
karyawannya,
marahmarahin,
jok,
digratisin,
indikasi,
watching,
mengikuti,
berkaitan,
penghapus,
mengulum,
kitakesudahannyasangat,
sini,
mrtabak,
keselnya,
kagetan,
ngawang,
miniatur,
bijinya,
far,
tahunya,
berani,
risikonya,
sponsornya,
streetcubbpp,
jb,
merona,
sejatinya,
nyaaa,
semacam,
dimusuhin,
tagar,
wni,
oleh,
berkibar,
hg,
gueh,
dengan,
mamahlah,
urusan,
nur,
menguat,
telat,
sampekengtay,
jek,
pengecutpenjilattukang,
camkan,
doapasrah,
kemampuannya,
gervan,
developmentnya,
virtualrunid,
susulannya,
yucub,
mustinya,
lom,
menghantamnya,
bonbin,
teguuhh,
moter,
niatnya,
persibku,
ajaaa,
ditinjau,
west,
melengos,
menutupi,
memanfaatkannya,
kelaperan,
sold,
mbaq,
ahh,
deskripsi,
yeorobun,
heheu,
persamaan,
punkada,
dibiarin,
kiranti,
tuanya,
slankersi,
pertanda,
seruan,
mindahin,
daripada,
dibentakin,
harikumembuatku,
folder,
doanya,
kebhinekaan,
jauhi,
suspicious,
hikmahnya,
pengorbanan,
jonghyunhati,
gasalah,
sehatterussayang,
jawabin,
fatihah,
dasbor,
brasil,
fifteenth,
syabar,
more,
congoni,
most,
leluasa,
mardani,
brasa,
temen,
mendorong,
terhina,
ujug,
mengatasi,
sakral,
metromini,
mup,
teakhir,
simplylife,
sanagat,
maen,
want,
better,
pnk,
percayai,
sbrpa,
telah,
nikahbuat,
terpojokkan,
segiga,
dude,
gapapa,
prakarya,
user,
gtt,
tuhanmu,
aer,
ignore,
lhaa,
unitedindramayu,
najiiiis,
coz,
melucu,
tahutahu,
soimah,
godok,
extra,
metal,
heran,
guenya,
almarhum,
kemanggisan,
klausul,
kembangkan,
abiiiss,
gem,
spread,
jumbo,
keluarin,
texturenya,
blink,
patnernya,
plat,
how,
hidupin,
diisi,
pembenih,
dilemma,
mengasihi,
baladaanakdaerah,
eq,
abuabu,
tatapanmu,
sesuaikan,
expo,
kebahagian,
tibatiba,
noor,
erdogan,
brooo,
proterorisme,
bilapun,
ripjupe,
menepuk,
ribet,
volume,
melanggarnya,
aigoo,
aika,
trusan,
mengagumi,
gitudeh,
santap,
dimasukin,
kampus,
nyala,
call,
manasin,
yours,
satusatu,
wani,
dibawa,
nyangkut,
mendengarkanya,
jeansku,
disayangi,
jilatilah,
asaan,
beredar,
dusta,
terkesan,
desaigner,
dimainkan,
melebihi,
darimu,
apolitis,
hah,
pwbanget,
goals,
wah,
sejumput,
ambience,
kekasihmu,
semacamnya,
dikunci,
orderan,
sandiaga,
beksi,
anjrit,
kombat,
akulaku,
melipat,
psikotes,
bm,
notabenenya,
enter,
eheheheh,
membesarkan,
ibuibu,
tersentuh,
datangmu,
ferry,
myday,
pakdok,
ediotudh,
tp,
grup,
melanjutkan,
wkwkl,
dendem,
soresore,
giniehh,
ngegemesin,
berac,
tuhkan,
kekasih,
berdzikir,
kusadari,
ngeladenin,
investor,
bawahnya,
ilfeelin,
dipegangin,
dibesokin,
bangetlah,
disegerakan,
radiiitt,
dihappyi,
mercury,
diginiinadek,
bongkarin,
itself,
mewek,
yung,
mohn,
keharusan,
jancuk,
paman,
melupakan,
bapaknya,
terlaku,
pemilihan,
nerusin,
mr,
sambut,
heh,
maksa,
pekaitupenting,
himself,
tuker,
lagulagu,
ugmberprestasi,
gamelan,
niscaya,
ibubapa,
thread,
pertemuan,
diterima,
kuasamu,
jedor,
waan,
membuatkuh,
lexyness,
nyanyiinnanti,
ngajuin,
sangobion,
makanyakasian,
jalanku,
alex,
seanjing,
ketakutan,
ketenaga,
here,
eratbngtapayaarti,
mbavan,
petjun,
jagalah,
tank,
gmau,
kebaikan,
permintaanmu,
dirumah,
persik,
buana,
igf,
scientism,
lumrah,
jwb,
cabut,
pergiseperti,
minoruliciouces,
ternyata,
sujud,
diterapkan,
berwenang,
xd,
ketidaksempurnaanmu,
terbenamtempat,
termakan,
ujungnya,
distasiun,
tulangnya,
rangkas,
lucu,
chingudeulll,
dicut,
iseng,
diomongin,
pundakmu,
sekjen,
capil,
jadul,
anjir,
postingan,
logisnya,
kekunci,
yguda,
oranghahahahaa,
terlukatapi,
kiranya,
complain,
bergelora,
usahanya,
mungkintp,
komoditas,
kakiku,
benarsalahtidak,
ustadznya,
gaktuh,
update,
cash,
penantian,
kolor,
lobby,
piagam,
imamnya,
mukacapek,
adlh,
cikur,
mengundurkan,
dapetin,
haditsnya,
berucap,
janjinya,
iniperlahan,
senyummu,
rerata,
asumsi,
anyway,
tongsekedar,
pencurian,
handphone,
kasihlah,
belakangnya,
koruptor,
e,
digusur,
iritasi,
drmh,
kelamnya,
tweeps,
pastimintanya,
displin,
nyinyiri,
sidrap,
shalattin,
marakkan,
perhitungan,
tmnku,
payingrespect,
ugmtampan,
kecuali,
militan,
diliput,
gimana,
fucking,
syarat,
jualan,
basi,
dalih,
mewakili,
kamuu,
pagimu,
ngajarin,
tidakkuat,
nxm,
bgttjd,
enemy,
rite,
kristen,
lalaki,
semenarik,
udud,
deliserdang,
gokil,
truktruk,
lawyer,
temankobong,
sp,
pendampingku,
kejadiankejadian,
mencair,
definitely,
kuterharu,
cungkring,
bermacet,
talks,
menghasut,
member,
arctic,
chatnya,
ngliat,
nimbang,
role,
yaw,
kurtilas,
ucapnya,
beribu,
ngrengek,
kusye,
malan,
mutual,
ayuting,
ngerilis,
cicil,
konser,
jkw,
terlarang,
gapteknya,
tersentak,
terbege,
spp,
pengaruh,
detailnya,
realitanya,
janjiin,
teungku,
charity,
sekiranya,
gra,
mira,
mendesak,
lenti,
nyampah,
karvanda,
kkk,
passionate,
dilupakan,
cintaa,
diturunkannya,
v,
mahabenar,
huaaa,
berpikir,
inicm,
wasweswoswasweswos,
baiklahbaiklah,
ariel,
anakkodok,
teksanak,
ojt,
chrome,
dimana,
tuding,
smt,
rabbal,
pniel,
berendem,
khilafmu,
lasti,
duhkok,
have,
apalah,
ajasusu,
puma,
taperwer,
serioulsy,
laks,
tibalah,
yakinlah,
dibales,
sanggup,
kemanapun,
heart,
servernya,
gedean,
bangeeet,
mengeja,
kmren,
bandingngin,
mintax,
panglima,
cashback,
punggawa,
terganti,
sampek,
planning,
berantakin,
trims,
nggada,
oot,
kotamu,
apbd,
bieber,
krakatau,
terpendek,
menangis,
bodo,
maksiat,
jatohnya,
shg,
sabang,
dihidup,
whom,
brnilai,
tgs,
grape,
wkwkwlw,
too,
tetangganya,
pembalap,
gada,
dipermasalahkan,
berwisata,
irikita,
piso,
sop,
what,
annivnyaa,
butir,
yaakkk,
dioperasi,
pudding,
triliunan,
dijalan,
sam,
gapada,
diusahakan,
sobatani,
memposting,
menyebarkannya,
gapuro,
abaikan,
diutamakan,
grebek,
penggunajalan,
bebenah,
nampaknya,
hamdan,
ngestan,
papaku,
humancapitallife,
nganterin,
novitasarilaras,
azmi,
unconditionally,
cwonya,
internetan,
reasons,
theelyxiondot,
skipskip,
keroncongan,
ngrampok,
mbacang,
ditaman,
ami,
bett,
sinyalnya,
fly,
didampingi,
eallaaaah,
loopingcr,
kakung,
tflers,
waktunya,
digenggam,
ingetin,
disaatsaat,
iyaaaa,
gerakn,
belagak,
ngalami,
tempurung,
doang,
teryata,
akupun,
perawatannya,
semaksimal,
cemberut,
dwi,
bni,
berwajib,
busyuuk,
dibioskop,
icikiwir,
mesnya,
second,
diterimah,
salfook,
ekspress,
sepenuhnya,
ooh,
gadisku,
wwnang,
ahlanwasahlanpildun,
tahta,
transfer,
maha,
off,
siapamasanda,
koper,
oppung,
vibes,
anies,
darenya,
blm,
blushing,
adek,
ancam,
mandailingcoffee,
kenak,
viavallen,
hil,
laf,
novel,
dibaiat,
bertanya,
berlama,
mengalahkan,
walopun,
jarinya,
kitabnya,
diberikannya,
timbangannya,
fakefrendzz,
terkecil,
selasamu,
kepemilikan,
gaberani,
akhirakhir,
ikhlasnya,
danajangan,
duitnya,
bersandar,
dsampaikan,
psikopat,
bosque,
ngampus,
blush,
utangnya,
gabut,
ente,
aaaahhh,
hempas,
wonotirto,
baperlevelcupu,
jokowi,
sebenarbenarnya,
up,
wowwww,
bolehkan,
pemotor,
danielsayang,
sayadan,
mempercayakan,
tahunanpadahal,
pindul,
youd,
urusin,
mesum,
ditelanjangi,
excessive,
dongg,
dlam,
casino,
dilajak,
diancam,
gubhebat,
ngasitau,
kepengen,
baeek,
masalalu,
balasku,
bentaran,
gemes,
saklar,
otaknya,
udaaahh,
keluarlah,
dimanapun,
korbannya,
jumatberkah,
dibentak,
pertengahan,
mindis,
kerjakan,
mangut,
sukseskanasiangames,
pekanbaru,
nitip,
wangjanim,
hawahihiiihii,
educatedtapi,
coolyeah,
baby,
bin,
dep,
cikal,
lhaaah,
qs,
selalusuksesdan,
dilingkungan,
fml,
kelepek,
berbicara,
disegani,
tweetnyamakin,
gun,
temantemannya,
terempong,
negri,
hj,
abs,
dea,
kampungan,
eloh,
alasan,
diridloi,
atlite,
gemukan,
menolak,
kuserahkan,
tersenyun,
dgitm,
batphone,
bahasakan,
penangan,
at,
dikitdikit,
ever,
gimanaaaaaaaaa,
mengeksplorasi,
jadibisa,
dikasih,
diberi,
ngebayangin,
kmbaliannya,
qismin,
tetaplah,
drumer,
populer,
jubir,
soremalam,
farah,
klar,
nanggung,
mengucap,
bersangkutan,
setianya,
ilmunya,
awareegppdhl,
oun,
niruin,
wajarkecuali,
persinggahan,
kucek,
kesaksian,
janganlupabersyukur,
evolusi,
dibandinginnya,
teddy,
shine,
pait,
difitnah,
uniq,
ur,
kartika,
kemacetan,
pemimoin,
diginiin,
when,
nyante,
tmbh,
jugaaa,
trihanggo,
mencintaimu,
klipingan,
chia,
ngebuat,
sekita,
hal,
mudahmudahan,
bertempat,
keulang,
perintilan,
sukarela,
bersamakuu,
ttdparaf,
hrganya,
out,
nayangin,
dahsyah,
dapati,
aatu,
cewektuk,
njeplak,
seriusan,
kulyah,
slank,
hiiiyyy,
y,
setuju,
teposjauhnya,
bhakti,
berpartisipasi,
memupuk,
menambah,
esbuah,
koid,
naomiaku,
seruuu,
mengusung,
kejelasan,
syariat,
idolshowcase,
somi,
dipercaya,
gewlaaaaa,
melonggarkan,
ditaksir,
eksismenganggap,
mamah,
mengawal,
dihukum,
pembual,
gincu,
sok,
lamtur,
mengenalnya,
sebelumsebelumnya,
seirama,
admire,
menyusut,
pemicu,
lalalayeyeyeye,
diatasin,
insomnia,
ngejemput,
mengutus,
yeini,
ambisius,
eropa,
sekali,
nyaman,
englishngliat,
mkasih,
karenasampahjakartabedasampahjerman,
hadeh,
siska,
saltyin,
mahmas,
awareness,
mimi,
nga,
ive,
perasaanya,
loe,
sarangeyooo,
krja,
local,
suaramu,
batrei,
sopir,
talha,
komen,
suicide,
sat,
sumpelan,
tangkaptangkap,
aahhseeeek,
ditanyaa,
pasangin,
kubilang,
lendir,
ikud,
garden,
sedooooottt,
menggoda,
percontohan,
tanamkan,
traumamu,
keraguannya,
za,
sbg,
sendian,
dimas,
tinggalkn,
mingkem,
aminkan,
robek,
waduuuh,
motret,
gembyor,
edasr,
cust,
mengulanginya,
membara,
senyaman,
kulitnya,
manatan,
birokrasi,
mansyarakat,
mentabnya,
kyak,
wowo,
ambilah,
ultah,
remajabangkitlah,
dibuatin,
diturunkan,
instansi,
smngtt,
juni,
alor,
kilah,
hanya,
kelalaian,
isiin,
menemui,
dilink,
pocongan,
disayang,
transformasi,
fotocopy,
birueehhh,
antrian,
overdue,
happybirthday,
lamaran,
aque,
berhubungan,
waktuku,
naksir,
partner,
intelektual,
thankyou,
lfl,
dpnya,
nelpon,
gn,
bertransformasi,
sejuta,
emojis,
pastikan,
bikinan,
hobi,
ligabagaimana,
terbengkalai,
file,
aduh,
braniin,
ngeread,
useetv,
halangkan,
diamajaib,
percintaanku,
dilancarkan,
patriarki,
kirimgopay,
girls,
iiikancut,
arcana,
pisahnamun,
temanku,
naiknaik,
siripnya,
stanchart,
gapunyaa,
yabg,
nusantara,
integreted,
visioner,
sekalian,
kpi,
gresik,
pecahannya,
enakenaknya,
termanjur,
ngebegal,
kesiangan,
bangsatempat,
nyimpen,
papap,
rabb,
heol,
sudjatmoko,
gebetan,
penyangganya,
nyungsep,
mulletnya,
mengajari,
mangkanya,
jbtn,
apartemen,
arin,
people,
byee,
eneng,
urutannya,
cancel,
mengerti,
jelambar,
ngerangkul,
connection,
dibaca,
puan,
polemik,
susin,
laguland,
sinh,
petugasnya,
panjangnya,
tandain,
ngenakin,
mengeluhkan,
kiaracondong,
jorge,
sisil,
kopinusantara,
jumlah,
permaluin,
jan,
kangendewa,
gambarnya,
kore,
selangkangan,
bijaksana,
pkn,
tidakbisa,
kamingsun,
soswitnya,
mikirnya,
mangan,makan
testi,testimoni
dilewatin,dilewatin
ortunya,orang tua nya
khasnya,khas nya
vanashh,panas
ending,akhir
diusir,diusir
trailernya,trailer nya
kebutuhan,kebutuhan
oldmoneygakngerasain,old money tidak merasakan
muterin,memutarkan
yuno,Yuno
pake,pakai
mahendraku,mahendra ku
refer,merujuk
belinya,beli nya
ngelag,ngelag
masingmasing,masing-masing
senyumnya,senyum nya
ciptaan,ciptaan
hendaknya,hendaknya
jerit,jerit
pertolongan,pertolongan
mau,ingin
qerja,kerja
berkaca,berkaca
pendatang,pendatang
iyot,Iyot
goindonesia,go Indonesia
menentang,menentang
twt,twitter
unekunek,unek-unek
wajahku,wajah ku
feel,merasa
nuntut,menuntut
bakarnya,bakar nya
apalagai,apalagi
menetes,menetes
ermanjatim,komunitas erman jawa timur
rombongn,rombongan
dijawab,di jawab
hatipun,hati pun
cimitcimit,sedikit
naro,menaruh
been,sudah
lagi,sedang
sama-sama,sama-sama
sama,sama
dikangkangi,dikangkangi
bercocok,bercocok
dibiarkan,dibiarkan
mlm,malam
ngaceng,berdiri
gt,begitu
jerman,jerman
mukanya,wajah nya
istimewanya,istimewa nya
kejakarta,ke jakarta
jga,juga
kulsub,kuliah subuh
unik,unik
drakor,drama korea
according,menurut
aisia,astaga
dll,dan lain lain
lelakimu,lelaki mu
pakaianya,pakaian nya
edinburgh,edinburgh
nanami,nanami
before,sebelum
hayam,ayam
skali,sekali
grasak,brutal
ajg,anjing
diposting,diposting
berlemah,berlemah
dikira,dikira
doain,doain
cing,cing
kapanliburanlagi,kapan liburan lagi
serrr,ser
nestapa,nestapa
afganistan,afganistan
katakata,kata-kata
paper,kertas
hayuk,ayo
anakan,anakan
segar,segar
keyakinannya,keyakinan nya
sikopatnya,psikopat nya
explode,meledak
dibedong,dibedong
tmanku,teman ku
soalx,soalnya
sekoyaaah,sekolah
adventure,petualangan
arepin,harapkan
waallahu,waallahu
iniso,ini jadi
keira,keira
bray,bray
sotoyyy,sok tau
ieumah,inilah saya
penjadwalan,penjadwalan
klikbca,klik bca
diagnosa,diagnosa
lendr,lendir
lend*r,lendir
dipecat,di pecat
loo,lho
mario,mario
alamnya,alam nya
teyuss,terus
kaidah,kaidah
unu,itu
menyukseskan,menyukseskan
keresahan,keresahan
tenag,tenang
end,selesai
laporin,dilaporkan
manfaat,manfaat
ditendanya,di tenda nya
musium,museum
diksarlin,pendidikan dasar disiplin
dag,dag
hadir,hadir
ust,ustad
moga,semoga
ngebuntutin,ngebuntutin
abdul,abdul
korea,korea
cod,cash on delivery
duniawi,duniawi
hatiku,hati ku
tampan,tampan
menganti,mengganti
donggo,bodoh
darussalam,darussalam
dikerumunan,di kerumunan
esmosi,emosi
punyanya,punya nya
penularan,penularan
sreg,yakin
hkm,hukum
tutupin,tutupin
ngabarin,mengabari
mintain,memintai
penduduknya,penduduk nya
ngereceh,bercanda
rasain,rasain
tambahkn,tambahkan
menyikapinya,menyikapi nya
ira,ira
mencopot,melepas
pres,pers
makanqu,makan ku
ngopi,minum kopi
klopun,kalaupun
niel,niel
benarkah,benarkah
meet,bertemu
dikuatkuatin,dikuat-kuatin
phirel,phirel
tsahhhh,sah
mengulang,mengulang
sprt,seperti
pkir,pikir
arema,arema
dibutuhkan,dibutuhkan
shanthaaay,santai
cowonya,cowok nya
@ fromyg,@fromyg
about,tentang
say,mengatakan
kebanggan,kebanggaan
panturanan,panturanan
pantau,pantau
maafkanlah,maafkan lah
ngehubingin,menghubungi
sick,sakit
good,baik
vemirsyahh,permisa
kamprettt,kampret
ketahuilah,ketahuilah
gmarahti,tidak marah tapi
samurai,samurai
buk,ibu
ilangrusak,hilang rusak
pu,pekerja umum
mengamini,mengamini
boker,berak
face,wajah
jatuhnya,jatuh nya
emiss,ibu
memuakan,memuakkan
menontoni,mempersaksikan
hyunmin,hyunmin
sekaliiii,sekali
salep,salep
kediri,kediri
hey,hey
hifumi,hifumi
wanna,ingin
ngelihat,melihat
tanpamu,tanpamu
ngerumpul,kumpul
penerapannya,penerapannya
kajiannya,kajiannya
divonis,divonis
hayolo,hayo lho
dipermasalahin,dipermasalahkan
penakluk,penakluk
balet,balet
secengeng,se cengeng
wis,sudah
serumit,serumit
fancam,fancam
signalnya,sinyal nya
bucin,budak cinta
gendakan,pacar perempuan
pmarahan,pangeran
melirikm,melirik
jelekin,menjelekkan
ditunggangin,di tunggangi
kui,itu
nyindirnyindir,menyindir
perhaps,mungkin
berdedikasi,berdedikasi
terimalah,terimalah
dryer,penggering
clubbing,dugem
melaju,melaju
rica,rica
panasan,kepanasan
pernikahanku,pernikahan ku
aalamiin,alami
pasarpasar,pasar
juur,jujur
jelasinnya,jelasinnya
rusa,rusa
tinggallah,tinggallah
dibis,di bis
terenak,terenak
genderuwo,hantu
laahh,lah
moveon,move on
acc,terima
their,mereka
kulupa,aku lupa
ilcbpip,ilcbpip
kalbar,kalimantan barat
haha,tertawa
wth,what the hell
menuai,menuai
samyang,samyang
renoo,reno
kti,karya tulis ilmiah
pancasilais,pancasilais
plz,tolong
insaf,insaf
semanggi,semanggi
khilaf,khilaf
scr,secara
budak,budak
pungli,pungut liar
mmmmmoh,tidak mau
ngebash,ngebash
doangan,saja
tweetku,tweet ku
genteng,genteng
nervous,gugup
tidakmau,tidak mau
kualitasbhn,kualitas bahan
mengecup,mengecup
formatur,formatur
berenti,berhenti
rambutnya,rambut nya
diwajahnya,di wajahnya
tendang,tendang
menimba,menimba
ooalaah,oalah
nyium,mencium
bunganya,bunganya
mw,ingin
bass,bass
amarasi,amarasi
penghasilannya,penghasilannya
pramugari,pramugari
sono,sana
teka,teka
dijualin,di jualkan
sentimen,sentimen
hulk,hulk
keummatan,keumatan
pertengkaran,pertengkaran
ukurankecil,ukuran kecil
surga,surga
crowdfunding,crowdfunding
dipermudahkan,dipermudah
eson,eson
almuqarrabien,al muqarrabien
dda,ada
backers,backers
stressfull,membuat stres
first,pertama
laptopnya,laptop nya
gunungkidul,gunung kidul
utakatik,utak atik
adonan,adonan
dylan,dylan
masaknya,masaknya
ani,ani
misuh,misuh
pasanganmu,pasanganmu
mengajarinya,mengajarinya
terbaru,terbaru
terkadangg,terkadang
siapalah,siapalah
ajablm,aja belum
pelosok,pelosok
yatuhan,ya Tuhan
oma,nenek
ituh,itu
menghormati,menghormati
tei,tei
sekaliii,sekali
diberesin,di bereskan
klau,kalau 
dicium,di cium
menyebarkan,menyebarkan
pnya,punya
begok,bodoh
oknum,oknum
presscon,konferensi pers
apasaja,apa saja
puasaa,puasa
via,via
akademiknya,akademik nya
piye,bagaimana
mengambil,mengambil
visualisasi,visualisasi
kerjaany,kerjaan nya
terbawa,terbawa
tunaikan,tunaikan
persebaya,persebaya
casually,begitu saja
rozi,rozi
apps,aplikasi
jauuh,jauh
supporter,pendukung
iringi,mengiringi
dimosi,di mosi
usut,usut
kendala,kendala
raisa,raisa
terblok,terblokir
freestyle,freestyle
selingkuhin,selingkuhin
pralon,pralon
pralon,pralon
maruk,rakus
talenta,talenta
penting,penting
ketekunan,ketekunan
keuletan,keuletan
haus,haus
kalyan,kalian
kebalikan,kebalikan
madiun,madiun
suamine,suami nya
nyebar,menyebar
penegur,penegur
bamer,bawang merah
zebra,zebra
tidaksaling,tidak saling
amel,amel
tpi,tapi
maw,ingin
telapak,telapak
diklaim,diklaim
kirain,kirain
tustas,tuntas
pembelian,pembelian
kelebihanmu,kelebihanmu
ragunan,ragunan
kibo,kibo
dospem,dosen pembimbing
biasku,orang yang kusuka
fighter,petarung
jauuhh,jauh
otomatis,otomatis
untuk,untuk
sepuluh,sepuluh
keluargasaling,keluarga saling
kelangsungan,kelangsungan
tuiter,twitter
kno,tahu
kereboot,ke reboot
diawal,di awal
ryan,ryan
menghabiskan,menghabiskan
pacarin,pacari
gimanasi,bagaimana ya
bye,bye
nikmati,menikmati
fifa,fifa
warahmatullahi,warahmatullahi
sejujurnya,sejujurnya
bubar,bubar
bejuang,berjuang
ketiduran,ketiduran
sgt,sangat
gosend,gosend
asik,asik
dilontarkan,dilontarkan
enggk,tidak
dinyinyirin,dinyinyirin
yassona,yassona
cahya,cahya
pdhl,padahal
batalin,batalkan
badangkang,tubuh
idris,idris
isa,bisa
elisoulea,elisoulea
pengambil,pengambil
difollback,di follow back
dikalahkan,dikalahkan
perhubungan,perhubungan
santun,santun
dilahirkanya,dilahirkan ya
nyetok,nyetok
surahsurah,surah-surah
bertambahnya,bertambahnya
bnda,benda
subhanahu,subhanahu
cakleg,cakleg
boc,dewan komisaris
menjalin,menjalin
negur,menegur
oreo,oreo
pemalang,pemalang
bahagiagak,bahagia tidak
ngontrol,mengontrol
rsu,rumah sakit umum
degub,detak
waaaaa,wow
zhon,zhon
quda,kuda
behance,behance
nasehat,nasihat
piee,bagaimana
pinkan,pinkan
bingitt,sangat
wajhah,wajhah
adimas,adimas
didalem,di dalam
nyodorin,menyodorkan
bintara,bintara
sorga,surga
yaga,iya tidak
diamsekali,diam sekali
lebaytidak,lebay tidak
takut,takut
subscribers,subscribers
hehehee,hehehe
emakku,ibuku
ditanya,ditanya
ramennya,ramennya
dilola,dikelola
manggilnya,manggilnya
naroh,menaruh
pengem,ingin
polsek,kepolisian sektor
wainnailaihi,wainnailaihi
abng,abang
dipunyai,dimiliki
dusun,dusun
range,jangkauan
dinamakan,dinamakan
mbales,membalas
andalan,andalan
sedng,sedang
bawel,bawel
podcast,podcast
jokowiperiode,jokowi periode
edaran,edaran
pph,pajak penghasilan
disertai,disertai
niru,meniru
woee,hey
akrab,akrab
brg,bersama
hoam,hoam
kiam,kian
sodorin,memberi
akirnya,akhirnya
senengsenengnya,senang-senangnya
mksdnya,maksudnya
ataauuu,atau
scroll,scroll
dipersembahkan,dipersembahkan
style,style
israel,israel
rumit,rumit
nevolone,nevolone
nimbulin,menimbulkan
stokloreal,stok loreal
friendship,pertemanan
mekanisme,mekanisme
setaon,setahun
leci,leci
teleseries,teleseries
anda,anda
mematikan,mematikan
biat,agar
sesulit,sesulit
ntut,ntut
bloon,bodoh
significan,signifikan
penakut,penakut
kii,ki
sepe,sepi
neko,aneh
kelemahan,kelemahan
gimanegk,gimana tidak
shoping,belanja
dinkes,dinas kesehatan
date,date
memilihmu,memilihmu
mendem,memendam
memberikanmu,memberikanmu
terkagum,terkagum
lcc,lcc
takutin,takutin
alasankl,alasan jika
cawapresnyatamat,calon wakil presidennya tamat
inside,di dalam
antre,antre
bisannya,bisanya
becandaan,candaan
nampak,nampak
membuatnya,membuatnya
duluan,duluan
zamannya,zamannya
kelakuannya,kelakuannya
sdg,sedang
iblis,iblis
gacukup,tidak cukup
yos,yos
terluka,terluka
scared,takut
ayahnya,ayahnya
wkakaka,hahaha
judgemental,judgemental
dikatakan,dikatakan
wahyu,wahyu
antah,antah
porangkar,pekan olahraga antar angkatan dan karyawan
kalaupun,kalaupun
tanggapanku,tanggapanku
ditutup,ditutup
tergesagesa,tergesa-gesa
kerahkan,kerahkan
helm,helm
cuit,cuit
ngengeblengan,terbahak-bahak
kebayang,kebayang
istilahnya,istilahnya
jadin,jadikan
kalem,kalem
berarti,berarti
pling,paling
tar,nanti
akuanggap,aku anggap
dibikinin,dibikinin
jantungmu,jantungmu
pertunjukkan,pertunjukkan
insecure,insecure
shirt,shirt
cintaku,cintaku
dipolisikan,dipolisikan
supermarket,supermarket
jurassic,jurassic
ngejebak,menjebak
tft,thank you for today
olala,olala
ilangin,hilangkan
gagap,gagap
swafoto,selfie
ambilkan,ambilkan
trailer,trailer
pindahpindah,pindah-pindah
submit,kumpulkan
ndasmu,kepalamu
didirikan,didirikan
nyekolahin,menyekolahkan
dont,jangan
didi,didi
pitanya,pitanya
melukai,melukai
teather,teater
ngedumel,mengomel
raper,raper
bnyak,banyak
sue,sial
aww,aw
dosenny,dosennya
kalahhanya,kalah hanya
tenggara,tenggara
menghibur,menghibur
keegoisan,keegoisan
merengek,merengek
btw,by the way
telingaku,telingaku
disebrang,di seberang
kapten,kapten
sesuai,sesuai
hov,hov
nominee,calon 
mengutarakan,mengutarakan
macamnya,macamnya
hanyalah,hanyalah
hubungin,hubungi
jatuhkan,jatuhkan
totol,totol
terkait,terkait
sedikiiiit,sedikit
haiii,hai
kopling,kopling
kencangkan,kencangkan
semalaman,semalaman
delete,hapus
kerjaanpertemanan,kerjaan pertamanan
garukan,garukan
gi,grand indonesia
basmi,basmi
hektar,hektar
tytyd,penis
kedamaian,kedamaian
prayforlombok,pray for lombok
ampuh,ampuh
mangkal,mangkal
cintaaaaa,cinta
bos,bos
pandangan,pandangan
follow,follow
laredo,laredo
ampuni,ampuni
eksisting,eksisting
