,Slang,Formal
3206,dahh,dah
3207,ntar,entar
3208,gmn,bagaimana
3209,omdo,omong doang
3210,bgini,begini
3211,kate,kata
3212,gada,enggak ada
3213,cabe2,cabe-cabe
3214,klo,kalo
3215,prjuangan,perjuangan
3216,dg,dengan
3217,kmewahan,kemewahan
3218,stimpal,setimpal
3219,dg,dengan
3220,kmewahan,kemewahan
3221,yg,yang
3222,ddpat,didapat
3223,klo,kalo
3224,bkn,bukan
3225,sprt,seperti
3226,skrang,sekarang
3227,km,kamu
3228,jgn,jangan
3229,aj,saja
3230,bc,baca
3231,mnilai,menilai
3232,km,kamu
3233,kata2,kata-kata
3234,za,saja
3235,gak,enggak
3236,pake,pakai
3237,pake,pakai
3238,w,gue
3239,gak,enggak
3240,udahh,sudah
3241,gak,enggak
3242,usahh,usah
3243,omdo,omong doang
3244,za,saja
3245,segala2nya,segala-galanya
3246,sekarng,sekarang
3247,skrg,sekarang
3248,sprti,seperti
3249,skrg,sekarang
3250,sampe,sampai
3251,masing2,masing-masing
3252,jgn,jangan
3253,sampe,sampai
3254,mkanya,makanya
3255,jgn,jangan
3256,dlu,dulu
3257,sblm,sebelum
3258,hay,hai
3259,mreka,mereka
3260,bhagia,bahagia
3261,km,kamu
3262,aja,saja
3263,yg,yang
3264,korek2,korek-korek
3265,org,orang
3266,pngen,pengin
3267,ngebales,membalas
3268,krna,karena
3269,w,gue
3270,sihh,sih
3271,gak,enggak
3272,ngomong,mengomong
3273,udahh,sudah
3274,males,malas
3275,w,gue
3276,sasama,sesama
3277,ga,enggak
3278,klo,kalo
3279,dahh,dah
3280,elo,lo
3281,dehh,deh
3282,cabe2an,cabe-cabean
3283,terong2an,terong-terongan
3284,seklian,sekalian
3285,kluar,keluar
3286,tuuu,itu
3287,jgn,jangan
3288,ngurusan,mengurusi
3289,org,orang
3290,ngaca,mengaca
3291,donk,dong
3292,campurin,mencampuri
3293,emnknya,memangnya
3294,py,punya
3295,kaka,kakak
3296,unyuu,unyu
3297,dy,dia
3298,bkn,bukan
3299,tp,tapi
3300,kndung,kandung
3301,klo,kalo
3302,mrangkul,merangkul
3303,adlh,adalah
3304,knpa,kenapa
3305,klo,kalo
3306,g,enggak
3307,wlo,walau
3308,bnyak,banyak
3309,yg,yang
3310,sperti,seperti
3311,lh,lah
3312,manusiy,manusia
3313,tx,tak
3314,dr,dari
3315,samara,sakinah mawadah rahman
3316,aamiin,amin
3317,klw,kalau
3318,liat,lihat
3319,teringt,teringat
3320,trmsuk,termasuk
3321,ank,anak
3322,yg,yang
3323,dn,dan
3324,pilihnmu,pilihanmu
3325,swmntara,sementara
3326,trmasuk,termasuk
3327,gak,enggak
3328,dlm,dalam
3329,orang2,orang-orang
3330,yg,yang
3331,sgt,sangat
3332,liht,lihat
3333,aj,saja
3334,y,ya
3335,klo,kalo
3336,suaminy,suaminya
3337,skrg,sekarang
3338,msh,masih
3339,kn,kan
3340,sm,sama
3341,jadulnya,jaman dulunya
3342,mantaff,mantap
3343,klo,kalo
3344,yg,yang
3345,ngata2in,mengata-ngatai
3346,g,enggak
3347,jgn,jangan
3348,bagaimna,bagaimana
3349,tpi,tapi
3350,mulusssss,mulus
3351,bgus,bagus
3352,bkn,bukan
3353,gmana,bagaimana
3354,kpleset,kepleset
3355,yawlah,ya allah
3356,bgt,banget
3357,ntr,entar
3358,lgsg,langsung
3359,kepeleset,kepleset
3360,engga,enggak
3361,kayanye,kayanya
3362,amiinnnn,amin
3363,klo,kalo
3364,gn,begini
3365,ngakak,mengakak
3366,komen2an,komen-komenan
3367,wewww,wow
3368,dumsss,dong
3369,tar,entar
3370,keq,kayak
3371,gini,begini
3372,amiin,amin
3373,perbaikin,memperbaiki
3374,trus,terus
3375,permasalhkan,permasalahkan
3376,bener2,benar-benar
3377,ga,enggak
3378,ngomong,mengomong
3379,betul2,betul-betul
3380,jauhin,jauhi
3381,dateng,datang
3382,ngomong,mengomong
3383,adiik,adik
3384,manisss,manis
3385,ngerti,mengerti
3386,"besar""",besar-besar
3387,"masing""",masing-masing
3388,aja,saja
3389,"masing""",masing-masing
3390,yaaa,ya
3391,nyoba,mencoba
3392,wihh,wih
3393,beneran,benaran
3394,yg,yang
3395,ddlm,di dalam
3396,smua,semua
3397,kmbali,kembali
3398,pd,pada
3399,d,di
3400,kmu,kamu
3401,gk,enggak
3402,kmu,kamu
3403,gk,enggak
3404,dkuburnya,dikuburnya
3405,fi,di
3406,indo,indonesia
3407,sm,sama
3408,ttg,tentang
3409,masing2,masing-masing
3410,kyk,kayak
3411,kl,kalo
3412,rata2,rata-rata
3413,lbih,lebih
3414,byk,banyak
3415,critamu,ceritamu
3416,kw,kau
3417,ja,saja
3418,dl,dulu
3419,tu,itu
3420,kl,kalo
3421,dh,dah
3422,bres,beres
3423,cmkn,camkan
3424,tu,itu
3425,gk,enggak
3426,diurusin,diurusi
3427,keles,kali
3428,yg,yang
3429,biarin,biarkan
3430,aja,saja
3431,ntar,entar
3432,utk,untuk
3433,utk,untuk
3434,gk,enggak
3435,gk,enggak
3436,kk,kakak
3437,kale,kali
3438,klo,kalo
3439,ngomong,mengomong
3440,elo,lo
3441,ngerasa,merasa
3442,bener,benar
3443,ga,enggak
3444,donks,dong
3445,ga,enggak
3446,kn,kan
3447,keles,kali
3448,smoga,semoga
3449,kmu,kamu
3450,jngan,jangan
3451,"membanding""",membanding-banding
3452,gk,enggak
3453,kmi,kami
3454,mengperbolehkan,memperbolehkan
3455,gk,enggak
3456,krena,karena
3457,ngri,negeri
3458,"dingin""",dingin-dingin
3459,kn,kan
3460,lma,lama
3461,dibangga'in,dibangga-banggakan
3462,ngajak,mengajak
3463,ngebolehin,membolehkan
3464,dapet,dapat
3465,gak,enggak
3466,denger,dengar
3467,dlu,dulu
3468,"jelek""in",menjelek-jelekkan
3469,stiap,setiap
3470,org,orang
3471,gausa,enggak usah
3472,maksain,memaksakan
3473,klo,kalo
3474,km,kamu
3475,buktiin,buktikan
3476,smog,semoga
3477,mnerima,menerima
3478,baikxa,baiknya
3479,aaamin,amin
3480,ma,sama
3481,ma,sama
3482,sdh,sudah
3483,gk,enggak
3484,amienn,amien
3485,sekangen2,sekangen-kangen
3486,sm,sama
3487,met,selamat
3488,jln,jalan
3489,amiin,amin
3490,aamiin,amin
3491,kt,kita
3492,kmu,kamu
3493,sdh,sudah
3494,gak,enggak
3495,tpi,tapi
3496,aminnnn,amin
3497,amiiiiiiiiiinnnnnnn,amin
3498,nolongin,menolong
3499,amiiiiiiiiiiin,amin
3500,seluru,seluruh
3501,aminn,amin
3502,alloh,allah
3503,amiennn,amien
3504,amiiiin,amin
3505,amiiiin,amin
3506,gak,enggak
3507,ngk,enggak
3508,ngak,enggak
3509,ngak,enggak
3510,gak,enggak
3511,bnget,banget
3512,klow,kalau
3513,tebir,ribet
3514,doangam,doang
3515,"tebir""",ribet-ribet
3516,amad,amat
3517,mkst,maksud
3518,jgn,jangan
3519,sm,sama
3520,ae,saja
3521,wong2,wong-wong
3522,lau,kau
3523,rempong,repot
3524,ngurusin,mengurusi
3525,kerjaan,pekerjaan
3526,bingittzz,banget
3527,dgn,dengan
3528,bangets,banget
3529,ajaa,saja
3530,jg,juga
3531,bngt,banget
3532,ikh,ih
3533,kk,kakak
3534,aq,aku
3535,dwh,deh
3536,pulak,pula
3537,nengok,menengok
3538,bante,bantai
3539,la,lah
3540,ngomong,mengomong
3541,komenannya,komentarnya
3542,hadapin,menghadapi
3543,dengarin,mendengarkan
3544,bru,baru
3545,gk,enggak
3546,ush,usah
3547,sma,sama
3548,gpp,enggak apa-apa
3549,cock,cocok
3550,widihh,waduh
3551,bner,benar
3552,mantepp,mantap
3553,dehh,deh
3554,itungan,hitungan
3555,cita2,cita-cita
3556,temen-temen,teman-teman
3557,stu,satu
3558,syratnya,syaratnya
3559,klo,kalo
3560,skrg,sekarang
3561,skrg,sekarang
3562,mksh,terima kasih
3563,bgt,banget
3564,smoga,semoga
3565,pnjang,panjang
3566,shat,sehat
3567,slalu,selalu
3568,inginkn,inginkan
3569,ank,anak
3570,belanjaa,belanja
3571,disiniii,disini
3572,buktiin,buktikan
3573,burem,buram
3574,tlp,telepon
3575,dngan,dengan
3576,dg,dengan
3577,ga,enggak
3578,nyangka,menyangka
3579,nunggu,menunggu
3580,ngerasain,merasai
3581,ngerasain,merasai
3582,gmn,bagaimana
3583,yaaa,ya
3584,kancang,kencang
3585,tmbh,tambah
3586,cntik,cantik
3587,bnyk,banyak
3588,knp,kenapa
3589,mansyoallah,masyaallah
3590,skali,sekali
3591,canttttikkk,cantik
3592,dapetin,mendapati
3593,subhanalloh,subhanallah
3594,dlm,dalam
3595,slmt,selamat
3596,utk,untuk
3597,pke,pakai
3598,lbh,lebih
3599,keliatan,kelihatan
3600,mksh,terima kasih
3601,udah,sudah
3602,ksh,kasih
3603,saranin,sarankan
3604,dapetin,mendapati
3605,stiap,setiap
3606,lkuin,lakukan
3607,ttep,tetap
3608,langgenh,langgeng
3609,foto2nya,foto-fotonya
3610,tanggung2,tanggung-tanggung
3611,salluutt,salut
3612,pkai,pakai
3613,lht,lihat
3614,kmu,kamu
3615,skrg,sekarang
3616,pake,pakai
3617,sm,sama
3618,kmu,kamu
3619,pd,pada
3620,org2,orang-orang
3621,yg,yang
3622,smua,semua
3623,mkn,makin
3624,pake,pakai
3625,seneng,senang
3626,liat,lihat
3627,pdng,padang
3628,syantik,cantik
3629,warbiyasah,luar biasa
3630,skrg,sekarang
3631,pk,pakai
3632,kk,kakak
3633,mbk,mbak
3634,keedaannya,keadaannya
3635,lagu2,lagu-lagu
3636,saya2,saya-saya
3637,tunggu2,tunggu-tunggu
3638,sekrng,sekarang
3639,mngkin,mungkin
3640,ga,enggak
3641,lg,lagi
3642,tp,tapi
3643,lagu2nya,lagu-lagunya
3644,ttap,tetap
3645,bsa,bisa
3646,spertinya,sepertinya
3647,ma,sama
3648,kyk,kayak
3649,cm,cuma
3650,kmrn,kemarin
3651,ad,ada
3652,mrah,marah
3653,gra2,gara-gara
3654,skrg,sekarang
3655,dy,dia
3656,sngaja,sengaja
3657,kyk,kayak
3658,jlek,jelek
3659,bs,bisa
3660,jd,jadi
3661,udah2,sudah-sudah
3662,smua,semua
3663,udh,sudah
3664,ungkit2,ungkit-ungkit
3665,udh,sudah
3666,pura2,pura-pura
3667,gatau,enggak tau
3668,curhat2,curhat-curhat
3669,matany,matanya
3670,klo,kalo
3671,kyk,kayak
3672,gni,begini
3673,byk,banyak
3674,bner,benar
3675,klo,kalo
3676,dteng,datang
3677,k,ke
3678,mata'y,matanya
3679,baju2,baju-baju
3680,ayoooo,ayo
3681,buruannn,buruan
3682,emng,memang
3683,perubut,perebut
3684,sumai,suami
3685,hdp,hidup
3686,tk,tak
3687,tdk,tidak
3688,sprti,seperti
3689,mb,mbak
3690,elo,lo
3691,urusin,mengurusi
3692,apah,apa
3693,sm,sama
3694,bagus2,bagus-bagus
3695,say,sayang
3696,sekarng,sekarang
3697,mb,mbak
3698,ma,sama
3699,mbk,mbak
3700,jd,jadi
3701,bgt,banget
3702,ma,sama
3703,sbg,sebagai
3704,mmbela,membela
3705,mb,mbak
3706,mslhnya,masalahnya
3707,hnya,hanya
3708,sndri,sendiri
3709,sy,saya
3710,sj,saja
3711,gpp,enggak apa-apa
3712,krn,karena
3713,msh,masih
3714,bnyk,banyak
3715,llki,lelaki
3716,dluar,diluar
3717,sna,sana
3718,yg,yang
3719,mw,mau
3720,sm,sama
3721,km,kamu
3722,boleh2,boleh-boleh
3723,dg,dengan
3724,dya,dia
3725,pantes,pantas
3726,maluuuu,malu
3727,beda2,beda-beda
3728,mksh,terima kasih
3729,udh,sudah
3730,nyaranin,menyarankan
3731,pake,pakai
3732,skrng,sekarang
3733,ja,saja
3734,x,kali
3735,dgn,dengan
3736,masing2,masing-masing
3737,lagu2nya,lagu-lagunya
3738,tongolin,menongol
3739,sm,sama
3740,ahhh,ah
3741,cabol,cabul
3742,ngomong,mengomong
3743,ape,apa
3744,nyet,monyet
3745,muna,munafik
3746,jing,anjing
3747,tot,entot
3748,nihh,nih
3749,sm,sama
3750,ttg,tentang
3751,tuhh,tuh
3752,kmu,kamu
3753,smoga,semoga
3754,dpt,dapat
3755,hidiyah,hidayah
3756,jgn,jangan
3757,percya,percaya
3758,bgi,bagi
3759,tlg,tolong
3760,sya,saya
3761,sdri,sendiri
3762,sdh,sudah
3763,tdi,tadi
3764,mgkin,mungkin
3765,bkn,bukan
3766,sya,saya
3767,blg,bilang
3768,bhwa,bahwa
3769,mimin,admin
3770,indo,indonesia
3771,dr,dari
3772,br,baru
3773,denger,dengar
3774,skaligus,sekaligus
3775,dr,dari
3776,bkin,bikin
3777,jg,juga
3778,y,saya
3779,bkn,bukan
3780,jd,jadi
3781,br,baru
3782,cek2,cek-cek
3783,kl,kalo
3784,spti,seperti
3785,dl,dulu
3786,smakin,semakin
3787,qta,kita
3788,dg,dengan
3789,gtu,begitu
3790,sbgai,sebagai
3791,mgk,mungkin
3792,bs,bisa
3793,bgmn,bagaimana
3794,kl,kalo
3795,spti,seperti
3796,sapa2,sapa-sapa
3797,tp,tapi
3798,mmg,memang
3799,sama2,sama-sama
3800,kyknya,kayaknya
3801,dgn,dengan
3802,mgkn,mungkin
3803,bhwa,bahwa
3804,pnya,punya
3805,dng,dengan
3806,km,kamu
3807,termurahhh,termurah
3808,bbrp,beberapa
3809,bhw,bahwa
3810,dgn,dengan
3811,banyaaaaaak,banyak
3812,yg,yang
3813,org2,orang-orang
3814,ga,enggak
3815,baik2nya,baik-baiknya
3816,klo,kalo
3817,mmg,memang
3818,knp,kenapa
3819,hrs,harus
3820,tunjukan,tunjukkan
3821,bhwa,bahwa
3822,dr,dari
3823,mgkn,mungkin
3824,dg,dengan
3825,anak2mu,anak-anakmu
3826,bs,bisa
3827,mgkn,mungkin
3828,anak2,anak-anak
3829,bagus2,bagus-bagus
3830,anak2,anak-anak
3831,ngasih2,mengasih-ngasih
3832,berfikir,berpikir
3833,ni,nih
3834,amit2,amit-amit
3835,mba,mbak
3836,kasian,kasihan
3837,elu,lu
3838,d,di
3839,kyk,kayak
3840,gw,gue
3841,ngajuin,mengajukan
3842,tiba2,tiba-tiba
3843,jkt,jakarta
3844,kyk,kayak
3845,ni,ini
3846,yaaa,ya
3847,lg,lagi
3848,thn,tahun
3849,laki2,laki-laki
3850,terbaeq,terbaik
3851,utk,untuk
3852,namany,namanya
3853,gk,enggak
3854,jels,jelas
3855,bgt,banget
3856,tdk,tidak
3857,dn,dan
3858,diakibtkn,diakibatkan
3859,gk,enggak
3860,ad,ada
3861,kerjaan,pekerjaan
3862,emng,memang
3863,suk,suka
3864,jelek2,jelek-jelek
3865,emng,memang
3866,dsrny,dasarnya
3867,ny,nya
3868,sy,saya
3869,jkrta,jakarta
3870,mna,mana
3871,dn,dan
3872,mantaap,mantap
3873,benar2,benar-benar
3874,sperti,seperti
3875,main2,main-main
3876,lanjutkaaaaan,lanjutkan
3877,hiduppp,hidup
3878,ncek,encek
3879,majuuu,maju
3880,teruuss,terus
3881,kdg2,kadang-kadang
3882,looohh,loh
3883,yg,yang
3884,udah,sudah
3885,sebelumbya,sebelumnya
3886,tp,tapi
3887,yg,yang
3888,bener2,benar-benar
3889,dg,dengan
3890,ajah,saja
3891,keles,kali
3892,dr,dari
3893,tp,tapi
3894,tunjukin,tunjukkan
3895,kya,kaya
3896,"tahun""",tahun-tahun
3897,jkt,jakarta
3898,koment,komentar
3899,ksh,kasih
3900,k,ke
3901,koment,komentar
3902,sya,saya
3903,nyampein,menyampaikan
3904,sya,saya
3905,nyampein,menyampaikan
3906,bkn,bukan
3907,jgn,jangan
3908,nyari,mencari
3909,msh,masih
3910,dlm,dalam
3911,hokiii,hoki
3912,y,ya
3913,gk,enggak
3914,naksir,menaksir
3915,iyah,iya
3916,naksir,menaksir
3917,"bangt""",banget-banget
3918,cntik,cantik
3919,bgt,banget
3920,kk,kakak
3921,k,kak
3922,liat,lihat
3923,liat,lihat
3924,ntar,entar
3925,naksir,menaksir
3926,tw,tau
3927,nafkahin,menafkahi
3928,km,kamu
3929,dlu,dulu
3930,ngitem,menghitam
3931,banyaaaak,banyak
3932,"sama""",sama-sama
3933,gx,enggak
3934,lhat,lihat
3935,ja,saja
3936,naksir,menaksir
3937,cantika,cantik
3938,bgt,banget
3939,klau,kalau
3940,naksir,menaksir
3941,kmu,kamu
3942,cwek,cewek
3943,ak,aku
3944,laki2,laki-laki
3945,udh,sudah
3946,duhh,duh
3947,kngen,kangen
3948,fillm,film
3949,dr,dari
3950,emg,memang
3951,udh,sudah
3952,lbh,lebih
3953,sinet,sinetron
3954,jendral,jenderal
3955,nanya,tanya
3956,maenya,mainnya
3957,sinet,sinetron
3958,cantiks,cantik
3959,wktu,waktu
3960,pilm,film
3961,yaa,ya
3962,taon,tahun
3963,klau,kalau
3964,nd,indak
3965,slah,salah
3966,"nangis""",menangis-nangis
3967,ortu,orang tua
3968,beliin,belikan
3969,ituu,itu
3970,donk,dong
3971,dr,dari
3972,bgtt,banget
3973,lgsg,langsung
3974,aja,saja
3975,cini,sini
3976,jaaangan,jangan
3977,uda,sudah
3978,nambah,bertambah
3979,naek,naik
3980,terimaksih,terima kasih
3981,saranin,menyarankan
3982,pake,pakai
3983,inii,ini
3984,kaannnn,kan
3985,tidakkkk,tidak
3986,kemuh,kamu
3987,da,sudah
3988,keren2,keren-keren
3989,gak,enggak
3990,nyangka,menyangka
3991,sempet,sempat
3992,sby,surabaya
3993,aq,aku
3994,ga,enggak
3995,y,ya
3996,aq,aku
3997,nonton,menonton
3998,tgl,tanggal
3999,pinginnn,pengin
4000,buanget,banget
4001,ketemuuu,ketemu
4002,ampe,sampai
4003,kebawa,terbawa
4004,mimpiii,mimpi
4005,pengen,pengin
4006,ketemuuu,ketemu
4007,wanjerrr,anjir
4008,satupunn,satupun
4009,motret,memotret
4010,kapan2,kapan-kapan
4011,temen2,teman-teman
4012,msh,masih
4013,donk,dong
4014,lapakk,lapak
4015,nyeniii,menyeni
4016,bget,banget
4017,ngeselin,mengesalkan
4018,ad,ada
4019,yg,yang
4020,ga,enggak
4021,seeh,sih
4022,ttg,tentang
4023,abis,habis
4024,deuhh,duh
4025,b2an,berduaan
4026,dihargain,dihargai
4027,"engga""",enggak-enggak
4028,pdhl,padahal
4029,udh,sudah
4030,pcrn,pacaran
4031,tahun2,tahun-tahun
4032,tp,tapi
4033,gk,enggak
4034,yha,ya
4035,lebayy,lebay
4036,kya,kaya
4037,gilsss,gila
4038,baek,baik
4039,baper,bawa perasaan
4040,dech,deh
4041,udh,sudah
4042,bgt,banget
4043,nganbek,mengambek
4044,sukaa,suka
4045,enk,enak
4046,njir,anjir
4047,kek,kayak
4048,gini,begini
4049,tp,tapi
4050,mendam,memendam
4051,gpp,enggak apa-apa
4052,la,lah
4053,dr,dari
4054,maen,main
4055,manta,mantan
4056,gituuu,begitu
4057,yaaa,ya
4058,ihh,ih
4059,ga,enggak
4060,relaaaa,rela
4061,kmrn,kemarin
4062,gtu,begitu
4063,kyak,kayak
4064,gni,begini
4065,bgun,bangun
4066,cntik,cantik
4067,lg,lagi
4068,tdur,tidur
4069,cntk,cantik
4070,kt,kita
4071,pengen,pengin
4072,bgt,banget
4073,knl,kenal
4074,anugrah,anugerah
4075,slm,salam
4076,knl,kenal
4077,pakek,pakai
4078,uda,sudah
4079,kliatan,kelihatan
4080,km,kamu
4081,yg,yang
4082,gak,enggak
4083,lbih,lebih
4084,klu,kalau
4085,awoohhh,allah
4086,cantiikk,cantik
4087,bngett,banget
4088,kli,kali
4089,kya,kaya
4090,gt,begitu
4091,kk,kakak
4092,sbbyak,sebanyak
4093,apun,apapun
4094,indo,indonesia
4095,tetep,tetap
4096,nyangkutnya,menyangkutnya
4097,yg,yang
4098,untk,untuk
4099,kk,kakak
4100,sihh,sih
4101,kk,kakak
4102,gk,enggak
4103,kliatan,kelihatan
4104,org,orang
4105,ampunnnnn,ampun
4106,bgt,banget
4107,kmu,kamu
4108,hy,hai
4109,hy,hai
4110,hy,hai
4111,cantikkk,cantik
4112,wadaaw,waduh
4113,paraah,parah
4114,org,orang
4115,aj,saja
4116,cntk,cantik
4117,kk,kakak
4118,donk,dong
4119,sampw,sampai
4120,pengen,pengin
4121,ngeliat,melihat
4122,dijelekin,dijelekkan
4123,dlu,dulu
4124,napa,kenapa
4125,ttp,tetap
4126,bntu,bantu
4127,azeeeek,asik
4128,kalii,kali
4129,ntikk,cantik
4130,uhh,uh
4131,mayan,lumayan
4132,mnisss,manis
4133,gtu,begitu
4134,tambahim,tambahkan
4135,tambahin,tambahkan
4136,bngt,banget
4137,bgt,banget
4138,klo,kalo
4139,pake,pakai
4140,"bener""",benar-benar
4141,klo,kalo
4142,make,memakai
4143,klo,kalo
4144,dg,dengan
4145,org,orang
4146,yg,yang
4147,gilaaaa,gila
4148,canttikkk,cantik
4149,baanggeettt,banget
4150,ap,apa
4151,siiihh,sih
4152,krpoooo,kepo
4153,pengn,pengin
4154,gni,begini
4155,nyusul,menyusul
4156,nyok,yuk
4157,kk,kakak
4158,gni,begini
4159,dekkk,dek
4160,g,enggak
4161,da,ada
4162,yg,yang
4163,mw,mau
4164,kk,kakak
4165,baper,bawa perasaan
4166,bgt,banget
4167,ngiri,mengiri
4168,mmang,memang
4169,ga,enggak
4170,nentuin,menentukan
4171,smoga,semoga
4172,mnjmput,menjemput
4173,yg,yang
4174,kk,kakak
4175,ygs,sayang
4176,bgt,banget
4177,liat,lihat
4178,dahh,deh
4179,jan,jangan
4180,mblooo,jomblo
4181,pengen,pengin
4182,bs,bisa
4183,ber'expresi,berekspresi
4184,bgtu,begitu
4185,tw,tau
4186,ni,ini
4187,jdulnya,judulnya
4188,ap,apa
4189,ciumman,ciuman
4190,aurot,aurat
4191,laginy,laginya
4192,ga,enggak
4193,yg,yang
4194,nyaaaaaaaaaaaaa,nya
4195,alkhamdulilah,alhamdulillah
4196,ktnya,katanya
4197,selaluu,selalu
4198,anjirrr,anjir
4199,ngeh,engah
4200,amen,amin
4201,bs,bisa
4202,kliatan,kelihatan
4203,mngkin,mungkin
4204,qm,kamu
4205,aamiin,amin
4206,udh,sudah
4207,ngomong,mengomong
4208,kmrn,kemarin
4209,klo,kalo
4210,liatnya,lihatnya
4211,udh,sudah
4212,sm,sama
4213,indo,indonesia
4214,nahhh,nah
4215,bener,benar
4216,gak,enggak
4217,yah,ya
4218,ngmngnya,mengomongnya
4219,trs,terus
4220,yg,yang
4221,benar2,benar-benar
4222,orang2,orang-orang
4223,yg,yang
4224,sampai2,sampai-sampai
4225,hal2,hal-hal
4226,krn,karena
4227,komunitas2,komunitas-komunitas
4228,utk,untuk
4229,mw,mau
4230,gak,enggak
4231,gak,enggak
4232,fotony,fotonya
4233,halllo,halo
4234,sma,sama
4235,ngiritya,mengiritnya
4236,hematt,hemat
4237,cocokk,cocok
4238,dr,dari
4239,gw,gue
4240,lg,lagi
4241,ciyeeee,cie
4242,ni,nih
4243,yeeee,ya
4244,kk,kakak
4245,gak,enggak
4246,aq,aku
4247,nget,banget
4248,kususnya,khususnya
4249,krm,kirim
4250,sam,sama
4251,ajaaahhhhh,saja
4252,syediiihhh,sedih
4253,akuuu,aku
4254,gx,enggak
4255,ngerti,mengerti
4256,malangg,malang
4257,belooomm,belum
4258,blm,belum
4259,kn,kan
4260,blom,belum
4261,bingit,banget
4262,d,di
4263,donk,dong
4264,donk,dong
4265,yaakk,ya
4266,yaaa,ya
4267,nggk,enggak
4268,kebukti,terbukti
4269,anak2e,anak-anaknya
4270,pgn,pengin
4271,tuwanya,tuanya
4272,gmn,bagaimana
4273,comen2nya,komen-komennya
4274,pedesssss,pedas
4275,anak2mu,anak-anakmu
4276,yg,yang
4277,krn,karena
4278,jelas2,jelas-jelas
4279,skg,sekarang
4280,sdh,sudah
4281,kl,kalo
4282,yg,yang
4283,utk,untuk
4284,anak2nya,anak-anaknya
4285,nyebut2,menyebut-nyebut
4286,anak2mu,anak-anakmu
4287,yg,yang
4288,plg,pulang
4289,smbil,sambil
4290,hellooooooo,halo
4291,ngrebut,merebut
4292,dri,dari
4293,org,orang
4294,mnjdi,menjadi
4295,sprti,seperti
4296,skg,sekarang
4297,krna,karena
4298,ngomong,mengomong
4299,taek,tahi
4300,gak,enggak
4301,km,kamu
4302,smga,semoga
4303,bget,banget
4304,hancurin,menghancurkan
4305,rmh,rumah
4306,lupain,melupakan
4307,bangkret,bangkrut
4308,ngmng,mengomong
4309,taekk,tahi
4310,lahhhhhh,lah
4311,muna,munafik
4312,kedokk,kedok
4313,"mati""an",mati-matian
4314,pda,pada
4315,ga,enggak
4316,bsa,bisa
4317,aq,aku
4318,nyimak,menyimak
4319,komenx,komennya
4320,serem2,seram-seram
4321,"ngumpet""",mengumpet-ngumpet
4322,bgt,banget
4323,klo,kalo
4324,km,kamu
4325,lg,lagi
4326,blim,belum
4327,km,kamu
4328,sekrang,sekarang
4329,smpe,sampai
4330,ngerebut,merebut
4331,mnjijikaaaaaan,menjijikkan
4332,astgfrlh,astagfirullah
4333,knpa,kenapa
4334,mba,mbak
4335,bngt,banget
4336,sahabatt,sahabat
4337,bngt,banget
4338,gnyngka,enggak menyangka
4339,yaa,ya
4340,yg,yang
4341,kya,kaya
4342,gtu,begitu
4343,sendirir,sendiri
4344,brengsekk,brengsek
4345,gk,enggak
4346,da,ada
4347,g,enggak
4348,prnh,pernah
4349,tetep,tetap
4350,mbg,mbak
4351,gk,enggak
4352,ngomentnya,mengomentarinya
4353,ga,enggak
4354,nusuk,menusuk
4355,dr,dari
4356,blg,bilang
4357,dr,dari
4358,skr,sekarang
4359,dpotong,dipotong
4360,helo,halo
4361,blm,belum
4362,dpotong,dipotong
4363,kmrin,kemarin
4364,krn,karena
4365,ngmgin,mengomongkan
4366,kw,kau
4367,bilangg,bilang
4368,yah,ya
4369,kw,kau
4370,dri,dari
4371,dy,dia
4372,ga,enggak
4373,ngerebut,merebut
4374,temen,teman
4375,gkhianati,mengkhianati
4376,kpd,kepada
4377,hdup,hidup
4378,krn,karena
4379,sdh,sudah
4380,hdup,hidup
4381,dg,dengan
4382,skr,sekarang
4383,hr,hari
4384,sp,siapa
4385,pljaran,pelajaran
4386,utk,untuk
4387,org,orang
4388,spy,supaya
4389,tdk,tidak
4390,mngikuti,mengikuti
4391,klkuan,kelakuan
4392,spy,supaya
4393,tdk,tidak
4394,anak2nya,anak-anaknya
4395,tdk,tidak
4396,dibikin2,dibikin-bikin
4397,trus,terus
4398,gimana,bagaimana
4399,nnt,nanti
4400,ngurusin,mengurusi
4401,cew,cewek
4402,cow,cowok
4403,sm,sama
4404,aja,saja
4405,kasiannn,kasihan
4406,bgt,banget
4407,bnyak,banyak
4408,mgkin,mungkin
4409,dr,dari
4410,cocokkkk,cocok
4411,syekaliii,sekali
4412,ngelihat,melihat
4413,smoga,semoga
4414,hgga,hingga
4415,ngiri,mengiri
4416,makasih,terima kasih
4417,makasih,terima kasih
4418,ayoo,ayo
4419,seneng,senang
4420,kaka,kakak
4421,jd,jadi
4422,pengen,pengin
4423,namain,menamai
4424,ank,anak
4425,bangett,banget
4426,yaaa,ya
4427,cieeeee,cie
4428,bgt,banget
4429,sholihah,salihah
4430,bangett,banget
4431,adeuh,aduh
4432,bgt,banget
4433,nantiii,nanti
4434,aamiin,amin
4435,halahh,alah
4436,luu,lu
4437,leh,boleh
4438,uga,juga
4439,yuuks,yuk
4440,ayooo,ayo
4441,ka,kak
4442,yoo,ayo
4443,ginian,beginian
4444,judulnyaa,judulnya
4445,ape,apa
4446,nihh,nih
4447,ko,kok
4448,ngikutin,mengikuti
4449,gk,enggak
4450,klo,kalo
4451,mauuu,mau
